626175,"Дрель-шуруповерт аккумуляторная Makita DF333DWYE 12В 2х1,5Ач Li-Ion",8111.0
654272,Шлифмашина эксцентриковая электрическая ЗУБР ЗОШМ-450-125 450 Вт d125 мм,3720.0
504706,Шлифмашина эксцентриковая электрическая DeWalt DWE6423 280 Вт d125 мм,9298.0
106340,Полотно ножовочное по металлу Wilpu биметаллическое 300 мм 18 зуб/дюйм,163.0
626176,Дрель-шуруповерт аккумуляторная Makita DF333DWAE 12В 2х2Ач Li-Ion,8560.0
153715,Пила дисковая электрическая Makita 5008MG 1800 Вт 210 мм,15070.0
759071,Пистолет пневматический Patriot (830901036) GH 60C быстросъемный,466.0
614114,Пила дисковая электрическая КМ CS-1201/185 1200 Вт 185 мм,4400.0
684986,Краскораспылитель пневматический Fubag (110104) Master G600/1.4 HVLP верхний бачок,2190.0
504740,Дрель ударная Интерскол ДУ-13/780ЭР (421.1.0.30) 780 Вт,3194.0
813799,Перфоратор электрический Зубр ЗПМ-40-1250 ЭВК 1250 Вт 10 Дж SDS-max,15690.0
654271,Фен строительный электрический ЗУБР ФТ-1600 1600 Вт,1980.0
813813,Штроборез Зубр ЗШ-П30-1400 ПСТК 1400 Вт d125 мм,9160.0
654257,"Краскопульт электрический ЗУБР КПЭ-500 500 Вт 0,8 л",3940.0
105809,Пила дисковая электрическая Bosch GKS 190 (601623000) 1400 Вт 190 мм,10648.0
153793,Шлифмашина угловая электрическая Einhell TE-AG 125 CE (4430860) 1100 Вт d125 мм,5900.0
759078,Шланг спиральный Patriot (830902001) SPE 15 быстросъемный 15 м для компрессоров,530.0
681534,Ножовка по дереву КМ 450 мм 7 зуб/дюйм крупный зуб,636.0
759073,Краскораспылитель пневматический Patriot (830901005) LV 162А для компрессоров верхний бачок,1020.0
504700,Шлифмашина угловая электрическая DeWalt DWE4257 1500 Вт d125 мм,12990.0
681523,Ножовка по дереву Hesler 350 мм 11 зуб/дюйм мелкий зуб,358.0
106342,Полотно ножовочное по металлу Wilpu биметаллическое 300 мм 32 зуб/дюйм,173.0
153781,Пылесос строительный электрический Einhell TC-VC 1820 S (2342167) 1250 Вт 20 л,7193.0
759077,Шланг спиральный Patriot (830902000) SPE 10 быстросъемный 10 м для компрессоров,420.0
131242,Ножовка по дереву Hesler 450 мм 7 зуб/дюйм крупный зуб,463.0
681535,Ножовка по дереву КМ 450 мм 9 зуб/дюйм средний зуб,680.0
691781,Пистолет пневматический Fubag (110122) DGL170/4 продувочный удлиненный,460.0
759070,Пистолет пневматический Patriot (830901030) GH 60A быстросъемный,295.0
162134,Шлифмашина угловая электрическая Metabo WEV 15-125 Quick (600468000) 1550 Вт d125 мм,15807.0
505050,Дрель-шуруповерт аккумуляторная Metabo BS 18 L (602321500) 18В 2х2Ач Li-Ion,15230.0
